                                                CITY OF MCALLEN
                                            TRAFFIC OPERATIONS
                   `                      N. 23rd St. & W. Heron Ave.


HOUR BOUND:     NORTH      BOUND:   SOUTH           Bi-       BOUND:    EAST      BOUND:   WEST           Bi-
 OF
 DAY START      09/11/06   START     09/11/06   directional   START    09/11/06   START    09/11/06   directional
       counter    ADA      counter    ADA         totals      counter     ADA     counter     ADA       totals
 TIME     Thru totals         Thru totals         NB+SB          Thru totals         Thru totals        EB+WB
 0:00         139                  76               215               0                   3                3
 1:00          58                  28               86                0                   8                8
 2:00          48                  28               76                0                  14                14
 3:00          36                  23               59                0                  12                12
 4:00          25                  38               63                0                  20                20
 5:00          42                  96               138               0                  94                94
 6:00         144                 254               398               0                 358               358
 7:00         473                1098              1571               0                 162               162
 8:00         674                1005              1679               0                 113               113
 9:00         481                 648              1129               0                 108               108
 10:00        482                 586              1068               0                  99               99
 11:00        526                 565              1091               0                 130               130
 12:00        661                 658              1319               0                 122               122
 13:00        642                 687              1329               0                 134               134
 14:00        661                 617              1278               0                 148               148
 15:00        740                 762              1502               0                 162               162
 16:00        894                 783              1677               0                 195               195
 17:00       1142                 890              2032               0                 221               221
 18:00       1143                 860              2003               0                 162               162
 19:00        908                 727              1635               0                 170               170
 20:00        744                 563              1307               0                 122               122
 21:00        592                 400               992               0                  66               66
 22:00        365                 230               595               0                  52               52
 23:00        194                 148               342               0                  32               32
TOTAL        11814               11770             23584              0                 2707             2707
TOTAL NB + SB    23584              TOTAL EB + WB              2707      GRAND TOTAL        26291

