                                                   CITY OF MCALLEN
                                                TRAFFIC OPERATIONS
                     `                       S. 33rd St. & W. Lucille Ave.


HOUR BOUND: NORTH            BOUND:    SOUTH                      BOUND:     EAST       BOUND:      WEST
  OF                                                     Bi-                                                        Bi-
 DAY   START      07/17/06   START      07/17/06    directional   START      07/17/06   START       07/17/06   directional
       counter    TMWIN      counter    TMWIN          totals     counter     TMWIN     counter     TMWIN         totals
 TIME      Thru totals           Thru totals          NB+SB           Thru totals           Thru totals          EB+WB       All
 0:00          11                     5                 16                30                    38                 68        84
 1:00           6                     3                 9                 13                    16                 29        38
 2:00           7                     4                 11                17                    12                 29        40
 3:00           3                     2                 5                  4                     8                 12        17
 4:00           1                     1                 2                  3                     9                 12        14
 5:00           1                     0                 1                  5                    18                 23        24
 6:00           6                     1                 7                 12                    38                 50        57
 7:00          13                     6                 19                41                    76                117        136
 8:00          19                    15                 34                54                    97                151        185
 9:00           8                    15                 23                30                    12                 42        65
 10:00         17                    18                 35                53                    80                133        168
 11:00         24                    10                 34                52                    78                130        164
 12:00         17                    16                 33                62                    74                136        169
 13:00         22                    18                 40                76                    93                169        209
 14:00         16                    18                 34                54                    76                130        164
 15:00         17                    18                 35                62                    52                114        149
 16:00         19                     8                 27                80                    68                148        175
 17:00         22                    29                 51                85                    81                166        217
 18:00         32                    32                 64                110                   118               228        292
 19:00         24                    28                 52                82                    121               203        255
 20:00         32                    47                 79                70                    97                167        246
 21:00         36                    18                 54                64                    82                146        200
 22:00         24                    19                 43                56                    67                123        166
 23:00         20                    14                 34                46                    63                109        143
TOTAL          397                   345               742               1161                  1474               2635
TOTAL NB + SB       742               TOTAL EB + WB                2635        GRAND TOTAL           3377

