                                                   CITY OF MCALLEN
                                                TRAFFIC OPERATIONS
                     `                      N. 20TH ST. & W. EBONY AVE.


HOUR BOUND: NORTH            BOUND:    SOUTH                      BOUND:     EAST       BOUND:      WEST
  OF                                                     Bi-                                                        Bi-
 DAY   START      10/02/06   START      10/02/06    directional   START      10/02/06   START       10/02/06   directional
       counter    TMWIN      counter    TMWIN          totals     counter     TMWIN     counter     TMWIN         totals
 TIME      Thru totals           Thru totals          NB+SB           Thru totals           Thru totals          EB+WB       All
 0:00           2                     1                 3                  4                     6                 10        13
 1:00           2                     4                 6                  2                     2                  4        10
 2:00           2                     4                 6                  2                     2                  4        10
 3:00           1                     1                 2                  2                     4                 6          8
 4:00           1                     2                 3                  0                     2                  2         5
 5:00           2                     1                 3                  6                     6                 12        15
 6:00           7                     7                 14                13                     8                 21        35
 7:00          26                    31                 57                46                    28                 74        131
 8:00          44                    44                 88                58                    92                150        238
 9:00          49                    39                 88                52                    71                123        211
 10:00         50                    48                 98                60                    60                120        218
 11:00         57                    38                 95                54                    82                136        231
 12:00         57                    54                111                72                    113               185        296
 13:00         62                    57                119                71                    114               185        304
 14:00         71                    56                127                88                    101               189        316
 15:00         59                    44                103                59                    88                147        250
 16:00         59                    58                117                78                    108               186        303
 17:00         54                    56                110                58                    105               163        273
 18:00         64                    54                118                70                    94                164        282
 19:00         41                    58                 99                76                    77                153        252
 20:00         28                    29                 57                31                    56                 87        144
 21:00         18                    28                 46                20                    46                 66        112
 22:00         13                    24                 37                 5                    20                 25        62
 23:00         10                     7                 17                 5                    16                 21        38
TOTAL          779                   745               1524               932                  1301               2233
TOTAL NB + SB      1524               TOTAL EB + WB                2233        GRAND TOTAL           3757

