                                         CITY OF MCALLEN
                                        TRAFFIC OPERATIONS
                  `               N. Bicen. Blvd. & W. Hackberry Ave.


HOUR   BOUND:   NORTH   BOUND:   SOUTH                 BOUND:       EAST      BOUND:   WEST
 OF                                           Bi-                                                   Bi-
 DAY   START 01/08/06   START 01/08/06   directional   START       01/08/06   START 01/08/06   directional   All bound
       Counter TMWIN    Counter TMWIN       totals     Counter     TMWIN      Counter TMWIN       totals       totals
 TIME     Thru totals      Thru totals     NB+SB           Thru totals           Thru totals     NB+SB           All
 0:00        149              158            307                36                   52             88           395
 1:00         74              105            179                15                   42             57           236
 2:00         46               59            105                 8                   22             30           135
 3:00         39               89            128                10                   25             35           163
 4:00         28               61             89                10                    6             16           105
 5:00         60               38             98                10                   15             25           123
 6:00         98               64            162                13                    9             22           184
 7:00        256              137            393                28                   24             52           445
 8:00        608              382            990                78                   72            150          1140
 9:00        542              755            1297              170                  125            295          1592
 10:00       584              622            1206              154                  138            292          1498
 11:00       660              678            1338              194                  177            371          1709
 12:00       846              671            1517              204                  209            413          1930
 13:00       827              758            1585              202                  276            478          2063
 14:00       889              754            1643              220                  284            504          2147
 15:00       836              808            1644              242                  331            573          2217
 16:00       950              780            1730              252                  329            581          2311
 17:00       1082             819            1901              206                  322            528          2429
 18:00       1047             804            1851              208                  339            547          2398
 19:00       736              700            1436              190                  344            534          1970
 20:00       544              519            1063              140                  198            338          1401
 21:00       496              369            865                93                  145            238          1103
 22:00       384              334            718                92                  106            198           916
 23:00       242              238            480                98                   70            168           648
TOTAL       12023            10702          22725              2873                 3660           6533
TOTAL NB + SB   22725        TOTAL EB + WB              6533        GRAND TOTAL        29258

