                                         CITY OF MCALLEN
                                        TRAFFIC OPERATIONS
                  `              N. Bicentennial Blvd. & W. Beech Ave.


HOUR   BOUND:   NORTH   BOUND:   SOUTH                 BOUND:      EAST      BOUND:   WEST
 OF                                           Bi-                                                  Bi-
 DAY   START 01/08/06   START 01/08/06   directional   START      01/08/06   START 01/08/06   directional   All bound
       Counter TMWIN    Counter TMWIN       totals     Counter     TMWIN     Counter TMWIN       totals       totals
 TIME     Thru totals      Thru totals     NB+SB           Thru totals          Thru totals     NB+SB           All
 0:00        149              158            307                0                   0               0           307
 1:00         74              105            179                0                   2               2           181
 2:00         46               59            105                0                   1               1           106
 3:00         39               89            128                1                   0               1           129
 4:00         28               61             89                0                   0               0            89
 5:00         60               38             98                0                   2               2           100
 6:00         98               64            162                2                   1               3           165
 7:00        256              137            393                13                  1              14           407
 8:00        608              382            990                12                  0              12          1002
 9:00        542              755            1297               16                  14             30          1327
 10:00       584              622            1206               12                  12             24          1230
 11:00       660              678            1338               26                  26             52          1390
 12:00       846              671            1517               12                  20             32          1549
 13:00       827              758            1585               20                  80            100          1685
 14:00       889              754            1643               11                  42             53          1696
 15:00       836              808            1644               5                   56             61          1705
 16:00       950              780            1730               15                  34             49          1779
 17:00       1082             819            1901               11                  31             42          1943
 18:00       1047             804            1851               4                   67             71          1922
 19:00       736              700            1436               19                  30             49          1485
 20:00       544              519            1063               2                   11             13          1076
 21:00       496              369            865                5                   8              13           878
 22:00       384              334            718                0                   11             11           729
 23:00       242              238            480                2                   1               3           483
TOTAL       12023            10702          22725              188                 450            638
TOTAL NB + SB   22725        TOTAL EB + WB               638       GRAND TOTAL        23363

