                                         CITY OF MCALLEN
                                       TRAFFIC OPERATIONS
                  `                N. Cynthia Ave. & E. Business 83


HOUR   BOUND:   NORTH   BOUND:   SOUTH                 BOUND:      EAST      BOUND:   WEST
 OF                                           Bi-                                                  Bi-
 DAY   START 04/16/07   START 04/16/07   directional   START      04/16/07   START 04/16/07   directional   All bound
       Counter TMWIN    Counter TMWIN       totals     Counter     TMWIN     Counter TMWIN       totals       totals
 TIME     Thru totals      Thru totals     NB+SB           Thru totals          Thru totals     NB+SB           All
 0:00         2                2               4                68                  46            114           118
 1:00         0                0               0                68                  25             93            93
 2:00         2                4               6                45                  17             62            68
 3:00         3                2               5                60                  30             90            95
 4:00         5                2               7                72                  72            144           151
 5:00         7                0               7               149                 141            290           297
 6:00         17               11             28               516                 529            1045         1073
 7:00         31               6              37               752                 706            1458         1495
 8:00         38               10             48               811                 822            1633         1681
 9:00         35               18             53               987                 829            1816         1869
 10:00        29               20             49               1074                857            1931         1980
 11:00        33               9              42               1210                904            2114         2156
 12:00        30               18             48               1092                884            1976         2024
 13:00        45               11             56               1125                864            1989         2045
 14:00        42               19             61               1219                919            2138         2199
 15:00        41               14             55               1287                899            2186         2241
 16:00        59               14             73               1311                864            2175         2248
 17:00        56               20             76               1114                602            1716         1792
 18:00        16               21             37               760                 464            1224         1261
 19:00        17               21             38               553                 395            948           986
 20:00        19               20             39               516                 294            810           849
 21:00        11               16             27               348                 216            564           591
 22:00        13               14             27               269                 185            454           481
 23:00        3                19             22               225                 109            334           356
TOTAL        554              291            845             15631                11673          27304
TOTAL NB + SB    845         TOTAL EB + WB              27304      GRAND TOTAL        28149

