                                         CITY OF MCALLEN
                                         TRAFFIC OPERATIONS
                  `                         34th & Jordan


HOUR   BOUND:   NORTH   BOUND:   SOUTH                  BOUND:       EAST      BOUND:   WEST
 OF                                            Bi-                                                   Bi-
 DAY   START 03/20/07   START 03/20/07    directional   START       03/20/07   START 03/20/07   directional   All bound
       Counter TMWIN    Counter TMWIN        totals     Counter     TMWIN      Counter TMWIN       totals       totals
 TIME     Thru totals      Thru totals      NB+SB           Thru totals           Thru totals     NB+SB           All
 0:00         0                0                0                 6                   10             16            16
 1:00         0                7                7                 5                   12             17            24
 2:00         0                3                3                 3                    7             10            13
 3:00         2                0                2                 3                    7             10            12
 4:00         0                0                0                 4                   12             16            16
 5:00         0                8                8                29                   53             82            90
 6:00         3                2                5                97                  271            368           373
 7:00         2                7                9               271                  117            388           397
 8:00         18               33              51               145                   92            237           288
 9:00         22               47              69                89                  110            199           268
 10:00        29               44              73               107                  122            229           302
 11:00        54               26              80               130                  118            248           328
 12:00        56              223             279                92                  105            197           476
 13:00        42               16              58               114                  131            245           303
 14:00        35               28              63               130                  198            328           391
 15:00        79               23             102               211                  146            357           459
 16:00        97               21             118               208                  175            383           501
 17:00       104               34             138               200                  136            336           474
 18:00        57               41              98               154                  156            310           408
 19:00        44               38              82               120                  130            250           332
 20:00        49               48              97                93                  116            209           306
 21:00        7                31              38                68                   76            144           182
 22:00        1                20              21                39                   31             70            91
 23:00        0                47              47                34                   17             51            98
TOTAL        701              747             1448              2352                 2348           4700
TOTAL NB + SB   1448         TOTAL EB + WB               4700        GRAND TOTAL        6148

