                                          CITY OF MCALLEN
                                          TRAFFIC OPERATIONS
                  `                      Main St. & Northgate Ave.


HOUR   BOUND:   NORTH   BOUND:   SOUTH                   BOUND:       EAST      BOUND:   WEST
 OF                                             Bi-                                                   Bi-
 DAY   START 03/20/07   START 03/20/07     directional   START       03/20/07   START 03/20/07   directional   All bound
       Counter TMWIN    Counter TMWIN         totals     Counter     TMWIN      Counter TMWIN       totals       totals
 TIME     Thru totals      Thru totals       NB+SB           Thru totals           Thru totals     NB+SB           All
 0:00         3                0                 3                 3                   10             13            16
 1:00         17               0                17                 4                    3              7            24
 2:00         2                0                 2                 3                    4              7            9
 3:00         0                0                 0                 8                    0              8            8
 4:00         3                0                 3                 4                    3              7            10
 5:00         0                0                 0                 8                    9             17            17
 6:00         0                0                 0                19                   23             42            42
 7:00         8                0                 8               203                   80            283           291
 8:00         6                0                 6               100                   46            146           152
 9:00         23               0                23                59                   48            107           130
 10:00        9                0                 9                51                   54            105           114
 11:00        5                0                 5                57                   59            116           121
 12:00        5                0                 5                39                   70            109           114
 13:00        32               0                32                51                   65            116           148
 14:00        9                0                 9                43                   80            123           132
 15:00        10               0                10                71                   81            152           162
 16:00        15               0                15                70                  129            199           214
 17:00        19               0                19                71                  111            182           201
 18:00        9                0                 9                69                   85            154           163
 19:00        12               0                12                58                   62            120           132
 20:00        15               0                15                38                   57             95           110
 21:00        12               0                12                33                   29             62            74
 22:00        12               0                12                15                   15             30            42
 23:00        15               0                15                 6                    7             13            28
TOTAL        241               0               241               1083                 1130           2213
TOTAL NB + SB    241         TOTAL EB + WB                2213        GRAND TOTAL        2454

