                                                   CITY OF MCALLEN
                                               TRAFFIC OPERATIONS
                     `                      N. 32nd St. & W. Kilgore Ave.


HOUR BOUND: NORTH            BOUND:    SOUTH                     BOUND:     EAST       BOUND:      WEST
                                                       Bi-                                                        Bi-
  OF
 DAY   START      09/26/05   START      09/26/05   directional   START      09/26/05   START       09/26/05   directional
       counter    TMWIN      counter    TMWIN        totals      counter     TMWIN     counter     TMWIN        totals
 TIME      Thru totals           Thru totals         NB+SB           Thru totals           Thru totals          EB+WB       All
 0:00           5                     0                 5                 7                     1                  8        13
 1:00           6                     0                 6                 2                     1                  3         9
 2:00           1                     0                 1                 0                     0                  0         1
 3:00           8                     1                 9                 7                     0                  7        16
 4:00           1                     4                 5                 2                     0                  2         7
 5:00           8                     4                12                 7                     6                 13        25
 6:00           4                    16                20                30                    10                 40        60
 7:00           6                    10                16                30                     7                 37        53
 8:00          19                    14                33                32                     2                 34        67
 9:00          12                     6                18                32                     3                 35        53
 10:00         22                     8                30                32                     3                 35        65
 11:00         16                     2                18                34                     2                 36        54
 12:00         13                    12                25                18                     6                 24        49
 13:00         17                     8                25                19                    40                 59        84
 14:00          8                    18                26                23                     9                 32        58
 15:00          6                    10                16                36                     8                 44        60
 16:00         12                    16                28                35                     4                 39        67
 17:00         22                    16                38                48                    10                 58        96
 18:00         35                    30                65                53                     8                 61        126
 19:00         28                    24                52                56                     6                 62        114
 20:00         28                    14                42                50                     3                 53        95
 21:00          7                    20                27                32                     4                 36        63
 22:00         10                     7                17                37                     0                 37        54
 23:00         19                     0                19                22                     0                 22        41
TOTAL          313                   240               553               644                   133                777
TOTAL NB + SB       553               TOTAL EB + WB               777         GRAND TOTAL           1330

