                                             CITY OF MCALLEN
                                          TRAFFIC OPERATIONS
                   `                    N. 29th St. & W. Harvey Ave.


HOUR BOUND: NORTH         BOUND:   SOUTH                   BOUND:     EAST       BOUND:     WEST
  OF                                               Bi-                                                     Bi-
 DAY   START 08/20/04     START 08/20/04     directional   START      08/20/04   START      08/20/04   directional
       counter     Peek   counter     Peek     totals      counter      Peek     counter      Peek       totals
 TIME      Thru totals        Thru totals      NB+SB           Thru totals           Thru totals         EB+WB       All
 0:00          44                 21             65                11                     4                15        80
 1:00          25                 13             38                11                     4                15        53
 2:00          16                  6             22                 2                     3                5         27
 3:00           4                  7             11                 2                     1                3         14
 4:00          13                  8             21                 8                     2                10        31
 5:00          20                 19             39                12                     1                13        52
 6:00          94                 42            136                39                     6                45        181
 7:00          298                139           437                249                   39               288        725
 8:00          274                97            371                119                   23               142        513
 9:00          220                75            295                56                    23                79        374
 10:00         239                46            285                51                    18                69        354
 11:00         265                82            347                44                    19                63        410
 12:00         321                79            400                50                    27                77        477
 13:00         241                92            333                49                    24                73        406
 14:00         243                53            296                92                    16               108        404
 15:00         392                127           519                108                   35               143        662
 16:00         489                238           727                101                   52               153        880
 17:00         481                304           785                97                    37               134        919
 18:00         342                190           532                88                    28               116        648
 19:00         318                94            412                77                    21                98        510
 20:00         246                82            328                65                    24                89        417
 21:00         218                72            290                71                     6                77        367
 22:00         201                29            230                50                    31                81        311
 23:00         198                17            215                13                     9                22        237
TOTAL         5202               1932           7134              1465                   453              1918
TOTAL NB + SB    7134              TOTAL EB + WB            1918       GRAND TOTAL           9052

