                                                                         Chittenden County MPO
                                                                                   30 Kimball Ave., Suite 206
                                                                                South Burlington, Vermont 05403
Station ID: milt20                                                                  http://www.ccmpo.org                                                                File Name        : milt20
Location: Bombardier Rd. & Middle Rd.                                                                                                                                   Site Code        : 00000020
Town: Miton                                                                                                                                                             Start Date       : 6/14/2007
Counters: CW Aggregate                                                                                                                                                  Page No          :1


                                                                          Groups Printed- Autos/ Peds - Trucks/ Bikes - Buses
                               Middle Rd.                                  Hobbs Rd.                                   Middle Rd.                                Bombardier Rd
                               From North                                  From East                                  From South                                   From West
 Start Time       Right   Thru    Left    Peds   App. Total   Right   Thru    Left   Peds App. Total    Right    Thru     Left    Peds   App. Total   Right   Thru    Left   Peds   App. Total   Int. Total
      07:00 AM        0     37       5       0         42        13     19      1        3        36        1      13        6       0         20        11      6      0       0          17         115
      07:15 AM        3     36       7       0         46        13     25      5        1        44        1      16      16        0         33         7      8      0       0          15         138
      07:30 AM        4     46       8       2         60         8     24      3        1        36        2      23        9       0         34        11      7      0       0          18         148
      07:45 AM        4     30       7       0         41        13     20      4        1        38        0      15        9       0         24         5      2      0       0           7         110
          Total     11     149     27        2        189        47     88     13        6       154        4      67      40        0        111        34     23      0       0          57         511

      08:00 AM       3     24       6       0          33        3      20       0       0        23        1      13       2       0           16       5      4       0      0            9          81
      08:15 AM       2     29       2       1          34        6      21       2       1        30        3      10       8       0           21       7      4       1      0           12          97
      08:30 AM       5     29       1       0          35        8      13       0       0        21        1      15       4       0           20       5      6       1      0           12          88
      08:45 AM       7     20       7       0          34        3      10       4       0        17        0      13       5       2           20       6      8       3      0           17          88
          Total     17    102      16       1         136       20      64       6       1        91        5      51      19       2           77      23     22       5      0           50         354

*** BREAK ***

      04:00 PM       3     29      11       0          43        9      12       2       3        26       4       42      10       0          56        6     15       7      0          28          153
      04:15 PM       5     10      14       0          29       11      18       2       2        33       4       31       8       0          43        5     20       2      0          27          132
      04:30 PM       7     21      12       0          40        7      13       1       0        21       3       30      10       0          43       10     22       7      0          39          143
      04:45 PM       7     29      16       0          52        4      20       1       0        25       5       37      10       0          52       15     22       4      0          41          170
          Total     22     89      53       0         164       31      63       6       5       105      16      140      38       0         194       36     79      20      0         135          598

      05:00 PM      16     18      15       0          49        7      18       7       2        34       8       29      14       0          51       11     22       6      1          40          174
      05:15 PM      19     21      13       1          54       10      13       2       2        27       6       54      14       2          76       15     36      17      0          68          225
      05:30 PM      16     24      13       2          55       14      10       4       5        33       4       41       9       0          54       10     24       7      2          43          185
      05:45 PM       7     18       9       1          35       17      18       3       1        39       2       28      11       0          41       14     24       6      0          44          159
          Total     58     81      50       4         193       48      59      16      10       133      20      152      48       2         222       50    106      36      3         195          743

   Grand Total     108     421     146       7        682      146     274      41      22       483       45     410     145        4        604      143     230     61       3        437         2206
     Apprch %     15.8    61.7    21.4       1                30.2    56.7     8.5     4.6                7.5    67.9      24      0.7                32.7    52.6     14     0.7
       Total %     4.9    19.1     6.6     0.3       30.9      6.6    12.4     1.9       1      21.9        2    18.6     6.6      0.2       27.4      6.5    10.4    2.8     0.1       19.8
   Autos/ Peds     108     415     146       4        673      142     273      39      15       469       43     404     145        0        592      142     226     61       1        430         2164
 % Autos/ Peds     100    98.6     100    57.1       98.7     97.3    99.6    95.1    68.2      97.1     95.6    98.5     100        0         98     99.3    98.3    100    33.3       98.4         98.1
  Trucks/ Bikes      0       3       0       3          6        1       1       2       7        11        0       5       0        4          9        0       3      0       2          5           31
% Trucks/ Bikes      0     0.7       0    42.9        0.9      0.7     0.4     4.9    31.8       2.3        0     1.2       0     100         1.5        0     1.3      0    66.7        1.1          1.4
        Buses        0       3       0       0          3        3       0       0       0         3        2       1       0        0          3        1       1      0       0          2           11
      % Buses        0     0.7       0       0        0.4      2.1       0       0       0       0.6      4.4     0.2       0        0        0.5      0.7     0.4      0       0        0.5          0.5

