                                                                                  Chittenden County MPO
                                                                                          30 Kimball Ave.
                                                                                  South Burlington, Vermont 05403
SHEL13 - Auto/Ped                                                                     http://www.ccmpo.org/                                                                          File Name         : SHEL13
Spear St. & Irish Hill Rd                                                                                                                                                            Site Code         : 13
Shelburne, VT / Rainy                                                                                                                                                                Start Date        : 8/6/2008
JS                                                                                                                                                                                   Page No           :1


                                                                                              Groups Printed- Cars
                              Spear St (SB)                                Irish Hill Rd (WB)                              Spear St (NB)                               Irish Hill Rd (EB)
                               From North                                      From East                                    From South                                     From West
Start Time        Right   Thru      Left    Peds    App. Total   Right   Thru      Left    Peds  App. Total   Right    Thru      Left   Peds    App. Total   Right   Thru      Left    Peds    App. Total   Int. Total
     07:00 AM         0      0         1        0           1        7       6         0       0        13         1      8         1       0         10         0      7         6        1         14           38
     07:15 AM        10      3         1        0          14        6     15          0       0        21         6     20         0       0         26         1     14         9        0         24           85
     07:30 AM        14      1         2        0          17        4     22          1       0        27         3     27         0       0         30         0     27        21        0         48          122
     07:45 AM        16      5         1        0          22        6     27          2       0        35         4     29         1       0         34         0     14        25        0         39          130
          Total      40      9         5        0          54       23     70          3       0        96       14      84         2       0        100         1     62        61        1        125          375

     08:00 AM       16       8        3        0          27        9      25        2        0         36        7      22        0       0          29        0      18       19        0          37          129
     08:15 AM       19       4        2        0          25       11      27        2        0         40        2      30        3       0          35        0      14       21        0          35          135
     08:30 AM       17       6        1        0          24        7      27        2        0         36        1      17        2       0          20        0      19       18        0          37          117
     08:45 AM       15      17        4        0          36        8      20        1        0         29        5      19        1       0          25        1      23       16        0          40          130
          Total     67      35       10        0         112       35      99        7        0        141       15      88        6       0         109        1      74       74        0         149          511

     04:00 PM       33      16        9        0          58        4     25         6        0         35        6      10        1       0           17       1     27        17        0          45          155
     04:15 PM       39      13       11        0          63        4     25         5        0         34        0       9        0       0            9       1     30        19        0          50          156
     04:30 PM       38      16       12        0          66        2     30         2        0         34        4      13        0       0           17       1     27        23        0          51          168
     04:45 PM       40      10        7        0          57        6     44         2        0         52        5       8        2       0           15       1     31        18        0          50          174
          Total    150      55       39        0         244       16    124        15        0        155       15      40        3       0           58       4    115        77        0         196          653

     05:00 PM       44     30        11        0          85        4     29         3        0         36        2       7        2       0           11       1     43        25        0          69          201
     05:15 PM       39     36        20        0          95        4     29         3        0         36       11       7        0       0           18       0     40        30        0          70          219
     05:30 PM       31     26        17        0          74        6     28         6        0         40        2      21        1       0           24       0     21        27        0          48          186
     05:45 PM       30     22         7        0          59        4     29         6        0         39        2       4        0       0            6       1     15        10        0          26          130
          Total    144    114        55        0         313       18    115        18        0        151       17      39        3       0           59       2    119        92        0         213          736

   Grand Total     401     213      109        0         723       92     408       43        0        543       61    251        14       0         326         8    370      304        1         683         2275
     Apprch %     55.5    29.5     15.1        0                 16.9    75.1      7.9        0                18.7     77       4.3       0                   1.2   54.2     44.5      0.1
       Total %    17.6      9.4      4.8       0         31.8       4    17.9      1.9        0       23.9      2.7     11       0.6       0         14.3      0.4   16.3     13.4        0           30

