                               Traffic Counts
INTERSECTION: 2nd @ Fern
DATE OF TRAFFIC COUNT: October 1, 2003
             NB           SB           Total          No EB      WB          Total          All
     0:00          103           29             132                    19             19           151
     1:00           41           23              64                     6              6            70
     2:00           31           27              58                     9              9            67
     3:00           18           11              29                     4              4            33
     4:00           18           14              32                     2              2            34
     5:00           25           44              69                    18             18            87
     6:00           66          126             192                    27             27           219
     7:00          371          541             912                   126            126          1038
     8:00          717          474            1191                   114            114          1305
     9:00          454          440             894                   109            109          1003
    10:00          466          450             916                   118            118          1034
    11:00          575          567            1142                   131            131          1273
    12:00          708          663            1371                   222            222          1593
    13:00          689          619            1308                   154            154          1462
    14:00          615          595            1210                   140            140          1350
    15:00          833          705            1538                   171            171          1709
    16:00          953          609            1562                   193            193          1755
    17:00          930          716            1646                   237            237          1883
    18:00          950          648            1598                   160            160          1758
    19:00          699          425            1124                   102            102          1226
    20:00          593          270             863                    90             90           953
    21:00          392          192             584                    59             59           643
    22:00          255          118             373                    55             55           428
    23:00          141           60             201                    25             25           226

7:00-19:00         8261        7027        15288                      1875           1875         17163
6:00-22:00        10011        8040        18051                      2153           2153         20204
6:00-24:00        10407        8218        18625                      2233           2233         20858
0:00-24:00        10643        8366        19009                      2291           2291         21300

Total           10643           8366       19009                    2291             2291         21300
              100.00%       100.00%                    100.00%   100.00%
                          total            21300                                 21300

                                               89%                                   11%

