                                                                  Chittenden County MPO
                                                                          30 Kimball Ave.
                                                                  South Burlington, Vermont 05403
Station ID: RICH19                                                    http://www.ccmpo.org/                                                          File Name      : rich19
Location: Jericho Rd. & School St.                                                                                                                   Site Code      : 19
Town: Richmond, VT                                                                                                                                   Start Date     : 6/9/2008
Counters: JW EP                                                                                                                                      Page No        :1


                                                                             Groups Printed- Cars
                               Jericho Rd. (SB)                                    Jericho Rd. (NB)                            School St. (EB)
                                  From North                                          From South                                 From West
         Start Time    Right    Thru         Peds    App. Total       Thru           Left         Peds    App. Total   Right    Left         Peds      App. Total     Int. Total
          07:00 AM         9       33            0          42          19             30             0          49       13       3             0            16            107
          07:15 AM        42       35            1          78          14             91             5         110       54     11              0            65            253
          07:30 AM        27       49            0          76          19             94           17          130       66     17              1            84            290
          07:45 AM        11       32            0          43          31             48             5          84       65     16              4            85            212
               Total      89     149             1         239          83           263            27          373     198      47              5           250            862

          08:00 AM        3       34            0           37         27              10            1           38      17        2            0             19            94
          08:15 AM        0       24            0           24          8               7            0           15       6        1            1              8            47
          08:30 AM        2       23            1           26         13               3            0           16       6        3            0              9            51
          08:45 AM        0       17            0           17         10               2            1           13       5        0            0              5            35
              Total       5       98            1          104         58              22            2           82      34        6            1             41           227

          02:00 PM        1       16            0           17         19              11            0           30       2       4             0              6            53
          02:15 PM        7       14            0           21         15              44            0           59       8       3             0             11            91
          02:30 PM        4       11            0           15         24              17            0           41      62      12            13             87           143
          02:45 PM        5       12            0           17         18               6            0           24      22       8            18             48            89
              Total      17       53            0           70         76              78            0          154      94      27            31            152           376

          03:00 PM        4       14            0           18         19               5            0           24      10       3             0             13            55
          03:15 PM        2       30            0           32          7               7            0           14      16       5             2             23            69
          03:30 PM        1       24            0           25         20               4            0           24      24       1             0             25            74
          03:45 PM        1       20            0           21         23               9            0           32      22       7             0             29            82
              Total       8       88            0           96         69              25            0           94      72      16             2             90           280

        Grand Total     119      388            2          509         286            388           29          703     398       96           39            533          1745
          Apprch %     23.4     76.2          0.4                     40.7           55.2          4.1                 74.7       18          7.3
            Total %      6.8    22.2          0.1         29.2        16.4           22.2          1.7         40.3    22.8      5.5          2.2           30.5

