                                                CITY OF MCALLEN
                                            TRAFFIC OPERATIONS
                    `                    N. McColl Rd. & W. Dove Ave.


HOUR BOUND:     NORTH      BOUND:   SOUTH           Bi-       BOUND:    EAST      BOUND:    WEST          Bi-
 OF
 DAY START      02/14/05   START     02/14/05   directional   START    02/14/05   START    02/14/05   directional
       counter     ADA     counter    ADA         totals      counter      ADA    counter     ADA       totals
 TIME     Thru totals         Thru totals         NB+SB           Thru totals        Thru totals        EB+WB
 0:00          61                  61               122               64                 32                96
 1:00          24                  35               59                39                 13                52
 2:00          24                  43               67                30                 19                49
 3:00          14                  16               30                17                  5                22
 4:00          21                  23               44                10                  9                19
 5:00          74                  70               144               40                 37                77
 6:00         188                 160               348              136                 85               221
 7:00         686                 462              1148              450                226               676
 8:00         888                 750              1638              527                418               945
 9:00         840                 732              1572              459                248               707
 10:00        835                 762              1597              447                214               661
 11:00        924                 758              1682              504                202               706
 12:00        960                 789              1749              508                270               778
 13:00        874                 792              1666              590                242               832
 14:00        868                 812              1680              556                236               792
 15:00        908                 840              1748              606                262               868
 16:00        979                 922              1901              582                319               901
 17:00       1058                1026              2084              626                350               976
 18:00        748                 778              1526              435                257               692
 19:00        614                 496              1110              304                166               470
 20:00        391                 311               702              234                122               356
 21:00        272                 272               544              210                 92               302
 22:00        208                 211               419              142                 67               209
 23:00        128                 118               246              124                 52               176
TOTAL        12587               11239             23826             7640               3943             11583
TOTAL NB + SB     23826             TOTAL EB + WB              11583       GRAND TOTAL       35409

