                                               CITY OF MCALLEN
                                          TRAFFIC OPERATIONS
                   `                  N. McColl Rd. & W. Jackson Ave.


HOUR BOUND:     NORTH      BOUND:   SOUTH           Bi-      BOUND:    EAST       BOUND:   WEST           Bi-
 OF
 DAY START      04/04/05   START    04/04/05   directional   START     04/04/05   START    04/04/05   directional
       counter     ADA     counter    ADA        totals      counter      ADA     counter     ADA       totals
 TIME      Thru totals        Thru totals        NB+SB           Thru totals         Thru totals        EB+WB
  0:00         0                   0                0                 1                   25               26
  1:00         0                   0                0                 1                   13               14
  2:00         0                   0                0                 0                   13               13
  3:00         0                   0                0                 0                   12               12
  4:00         0                   0                0                 2                   19               21
  5:00         0                   0                0                 1                   57               58
  6:00         0                   0                0                 6                 145               151
  7:00         0                   0                0                 13                324               337
  8:00         0                   0                0                 11                314               325
  9:00         0                   0                0                 16                384               400
 10:00         0                   0                0                 15                386               401
 11:00         0                   0                0                 30                417               447
 12:00         0                   0                0                 46                472               518
 13:00         0                   0                0                 42                458               500
 14:00         0                   0                0                 53                492               545
 15:00         0                   0                0                 74                406               480
 16:00         0                   0                0                 72                434               506
 17:00         0                   0                0                 44                328               372
 18:00         0                   0                0                 16                308               324
 19:00         0                   0                0                 4                 250               254
 20:00         0                   0                0                 3                 199               202
 21:00         0                   0                0                 2                 148               150
 22:00         0                   0                0                 0                   88               88
 23:00         0                   0                0                 0                   58               58
TOTAL          0                   0                0                452                5750             6202
TOTAL NB + SB      0                TOTAL EB + WB             6202       GRAND TOTAL        6202

