                                               CITY OF MCALLEN
                                           TRAFFIC OPERATIONS
                   `                   N. McColl Rd. & W. Nolana Ave.


HOUR BOUND:     NORTH      BOUND:   SOUTH           Bi-      BOUND:    EAST       BOUND:   WEST           Bi-
 OF
 DAY START      03/13/05   START    03/13/05   directional   START     03/13/05   START    03/13/05   directional
       counter     ADA     counter     ADA       totals      counter      ADA     counter     ADA       totals
 TIME      Thru totals        Thru totals        NB+SB           Thru totals         Thru totals        EB+WB
  0:00          84                 67              151               441                378               819
  1:00          50                 39               89               274                142               416
  2:00          46                 29               75               347                123               470
  3:00          22                 25               47               134                  79              213
  4:00          38                 25               63                84                  66              150
  5:00         137                 72              209               110                146               256
  6:00         144                196              340               292                352               644
  7:00         476                775              1251              834                894               1728
  8:00         918                1010             1928              924                1363              2287
  9:00         868                832              1700              953                1226              2179
 10:00         933                912              1845              994                1298              2292
 11:00        1121                946              2067              749                1519              2268
 12:00        1374                1090             2464             1286                1702              2988
 13:00        1469                970              2439             1370                1420              2790
 14:00        1354                1013             2367             1326                1353              2679
 15:00        1484                1136             2620             1280                1355              2635
 16:00        1604                1044             2648             1372                1590              2962
 17:00        1803                1185             2988             1500                1694              3194
 18:00        1298                830              2128             1286                1318              2604
 19:00         808                574              1382             1086                1237              2323
 20:00         551                383              934               885                998               1883
 21:00         454                320              774               897                906               1803
 22:00         228                214              442               899                848               1747
 23:00         134                 98              232               860                680               1540
TOTAL        17398               13785            31183            20183               22687             42870
TOTAL NB + SB    31183              TOTAL EB + WB            42870       GRAND TOTAL        74053

