                                              CITY OF MCALLEN
                                           TRAFFIC OPERATIONS
                  `                     S. 23rd St. & W. Lucille Ave.


HOUR BOUND:    NORTH      BOUND:   SOUTH          Bi-       BOUND:    EAST      BOUND:   WEST           Bi-
 OF
 DAY START     05/28/04   START    05/28/04   directional   START    02/21/05   START    02/21/05   directional
       counter ADR 1000 counter ADR 1000    totals          counter    TMWIN   counter   TMWIN        totals
 TIME     Thru totals      Thru totals      NB+SB              Thru totals        Thru totals         EB+WB
 0:00         122              121            243                   10                 0                 10
 1:00         55               36              91                   8                  0                 8
 2:00         47               30              77                   10                 0                 10
 3:00         36               28              64                   8                  0                 8
 4:00         44               40              84                   9                  0                 9
 5:00         145              72             217                   24                 0                 24
 6:00         230              260            490                   61                 0                 61
 7:00         514              540            1054                 166                 0                166
 8:00         606              666            1272                 189                 0                189
 9:00         670              674            1344                 160                 0                160
 10:00        695              715            1410                 139                 0                139
 11:00        825              807            1632                 144                 0                144
 12:00        880              723            1603                 146                 0                146
 13:00        790              815            1605                 142                 0                142
 14:00        862              794            1656                 116                 0                116
 15:00        924              853            1777                 204                 0                204
 16:00        898              840            1738                 166                 0                166
 17:00        937              945            1882                 164                 0                164
 18:00        832              883            1715                 160                 0                160
 19:00        639              628            1267                 132                 0                132
 20:00        511              459            970                  112                 0                112
 21:00        437              339            776                   83                 0                 83
 22:00        338              295            633                   90                 0                 90
 23:00        216              218            434                   52                 0                 52
TOTAL        12253            11781          24034                2495                 0               2495
TOTAL NB + SB     24034         TOTAL EB + WB                2495       GRAND TOTAL       26529

