                                                   CITY OF MCALLEN
                                                TRAFFIC OPERATIONS
                     `                       N. Main St. & W. Shasta Ave.


HOUR BOUND: NORTH            BOUND:    SOUTH                     BOUND:     EAST       BOUND:      WEST
                                                       Bi-                                                        Bi-
  OF
 DAY   START      07/04/05   START      07/04/05   directional   START      07/04/05   START       07/04/05   directional
       counter    TMWIN      counter    TMWIN        totals      counter     TMWIN     counter     TMWIN        totals
 TIME      Thru totals           Thru totals         NB+SB           Thru totals           Thru totals          EB+WB       All
 0:00          12                     6                18                 5                     2                  7        25
 1:00           3                     5                 8                 0                     5                  5        13
 2:00           8                     5                13                 0                     2                  2        15
 3:00          16                     3                19                 2                     5                  7        26
 4:00           3                     6                 9                 3                     1                  4        13
 5:00          21                    24                45                 3                     5                  8        53
 6:00          65                    75                140                8                    14                 22        162
 7:00          126                   98                224               27                    22                 49        273
 8:00          119                   111               230               20                    16                 36        266
 9:00          108                   108               216               18                    29                 47        263
 10:00         144                   115               259               22                    29                 51        310
 11:00         202                   158               360               16                    44                 60        420
 12:00         178                   149               327               19                    37                 56        383
 13:00         134                   128               262               18                    43                 61        323
 14:00         150                   128               278                5                    44                 49        327
 15:00         168                   123               291               13                    60                 73        364
 16:00         223                   183               406               15                    54                 69        475
 17:00         184                   168               352                3                    68                 71        423
 18:00         159                   99                258                5                    43                 48        306
 19:00         135                   118               253               10                    38                 48        301
 20:00         111                   96                207                4                    18                 22        229
 21:00         72                    80                152                8                    26                 34        186
 22:00         44                    40                84                 2                    14                 16        100
 23:00         25                    20                45                 4                    15                 19        64
TOTAL         2410                  2046              4456               230                   634                864
TOTAL NB + SB      4456               TOTAL EB + WB               864         GRAND TOTAL           5320

