                                              CITY OF MCALLEN
                                          TRAFFIC OPERATIONS
                  `                    S. 23rd St. & W. Colbath Ave.


HOUR BOUND:    NORTH      BOUND:   SOUTH          Bi-       BOUND:    EAST      BOUND:   WEST           Bi-
 OF
 DAY START     05/28/04   START    05/28/04   directional   START    02/21/05   START    02/21/05   directional
       counter ADR 1000 counter ADR 1000    totals          counter    TMWIN   counter   TMWIN        totals
 TIME     Thru totals      Thru totals      NB+SB              Thru totals        Thru totals         EB+WB
 0:00         790              789            1579                  7                  0                 7
 1:00         947              836            1783                  12                 0                12
 2:00         879              882            1761                  10                 0                10
 3:00         907              884            1791                  6                  0                 6
 4:00         922              89             1011                  11                 0                11
 5:00        1055              935            1990                  8                  0                 8
 6:00         951              958            1909                  8                  0                 8
 7:00         930             1037            1967                  24                 0                24
 8:00         853              978            1831                  46                 0                46
 9:00         756              743            1499                  62                 0                62
 10:00        721              662            1383                  70                 0                70
 11:00        577              518            1095                 112                 0                112
 12:00        316              431            747                  126                 0                126
 13:00        251              294            545                  133                 0                133
 14:00        178              153            331                  121                 0                121
 15:00        97               62             159                  134                 0                134
 16:00        32               61              93                  111                 0                111
 17:00        34               50              84                  105                 0                105
 18:00        50               62             112                  122                 0                122
 19:00        168              98             266                   66                 0                 66
 20:00        319              239            558                   36                 0                 36
 21:00        591              500            1091                  30                 0                30
 22:00        628              669            1297                  36                 0                36
 23:00        663              700            1363                  21                 0                21
TOTAL        13615            12630          26245                1417                 0               1417
TOTAL NB + SB     26245         TOTAL EB + WB                1417       GRAND TOTAL       27662

