                                                CITY OF MCALLEN
                                            TRAFFIC OPERATIONS
                   `                      N. 23rd St. & W. Zinnia Ave.


HOUR BOUND:     NORTH      BOUND:   SOUTH           Bi-       BOUND:    EAST      BOUND:   WEST           Bi-
 OF
 DAY START      02/07/05   START     02/07/05   directional   START    02/07/05   START    02/07/05   directional
       counter    ADA      counter    ADA         totals      counter     ADA     counter     ADA       totals
 TIME     Thru totals         Thru totals         NB+SB          Thru totals         Thru totals        EB+WB
 0:00         155                 108               263               4                   5                9
 1:00         104                  54               158               1                   2                3
 2:00         102                  34               136               1                   0                1
 3:00          54                  26               80                1                   2                3
 4:00          46                  41               87                0                   0                0
 5:00          89                 100               189               2                   1                3
 6:00         207                 367               574               11                 25                36
 7:00         678                1148              1826               67                 94               161
 8:00         983                1164              2147               66                127               193
 9:00         782                 830              1612               54                192               246
 10:00        814                 808              1622               41                188               229
 11:00        856                 878              1734               34                212               246
 12:00       1019                 996              2015               38                332               370
 13:00       1024                 967              1991               37                284               321
 14:00       1043                 904              1947               52                228               280
 15:00       1171                1004              2175               46                204               250
 16:00       1262                1082              2344               56                302               358
 17:00       1374                1080              2454               92                296               388
 18:00       1222                1053              2275               68                194               262
 19:00        949                 827              1776               56                138               194
 20:00        722                 619              1341               32                 94               126
 21:00        756                 526              1282               14                 42               56
 22:00        664                 344              1008               16                 44               60
 23:00        484                 196               680               12                 20               32
TOTAL        16560               15156             31716             801                3026             3827
TOTAL NB + SB    31716              TOTAL EB + WB              3827      GRAND TOTAL        35543

