                                                                  Chittenden County MPO
                                                                         30 Kimball Ave., Suite 206
                                                                      South Burlington, Vermont 05403
STATION ID: WEST-04 ~AUTO &PED COUNT                                      http://www.ccmpo.org                                                      File Name       : west04
LOC : Westford-Milton Rd. & Old Stage                                                                                                               Site Code       : 00000004
TOWN : WESTFORD                                                                                                                                     Start Date      : 8/7/2007
COUNTER : CW                                                                                                                                        Page No         :1


                                                                            Groups Printed- Autos/ Peds
                                 Westford-Milton Rd.                                  OId Stage Rd.                                Westford-Milton Rd.
                                    From East                                          From South                                     From West
         Start Time    Right   Thru      Left     Peds   App. Total   Right     Thru        Left     Peds   App. Total   Right   Thru      Left     Peds   App. Total   Int. Total
          07:00 AM        0      37        3         0          40       2         0          4         0           6       1       6        0         0           7           53
          07:15 AM        0      35        2         0          37       0         0          2         0           2       2      10        0         0          12           51
          07:30 AM        0      28        7         0          35       1         0          3         0           4       1      14        0         0          15           54
          07:45 AM        0      44        0         1          45       3         0          1         0           4       3      15        0         0          18           67
               Total      0     144       12         1         157       6         0         10         0          16       7      45        0         0          52          225

          08:00 AM        0     21         0        0           21       1         0         2         0            3       3     13         0        0           16          40
          08:15 AM        0     13         3        0           16       3         0         2         0            5       0     17         0        0           17          38
          08:30 AM        0     19         0        0           19       0         0         1         0            1       2     10         0        0           12          32
          08:45 AM        0     20         1        0           21       2         0         0         0            2       1     12         0        0           13          36
              Total       0     73         4        0           77       6         0         5         0           11       6     52         0        0           58         146

*** BREAK ***

          04:00 PM        0     13         1        0           14       5         0         1         0            6       0     24         0        0           24          44
          04:15 PM        0     17         4        0           21       2         0         0         0            2       5     37         0        0           42          65
          04:30 PM        0     18         1        0           19       7         0         2         0            9       2     34         0        0           36          64
          04:45 PM        0     19         1        0           20       1         0         3         0            4       4     35         0        0           39          63
              Total       0     67         7        0           74      15         0         6         0           21      11    130         0        0          141         236

          05:00 PM        0     22         1        1           24       6         0         3         0            9       4     36         0        0           40          73
          05:15 PM        0     26         2        0           28       5         0         2         0            7       2     50         0        0           52          87
          05:30 PM        0     27         2        0           29       2         0         1         1            4       2     48         0        0           50          83
          05:45 PM        0     15         3        0           18       2         0         0         0            2       2     37         0        0           39          59
              Total       0     90         8        1           99      15         0         6         1           22      10    171         0        0          181         302

       Grand Total        0    374       31          2         407     42          0       27           1          70      34     398        0        0          432         909
        Apprch %          0    91.9      7.6       0.5                 60          0      38.6        1.4                  7.9   92.1        0        0
          Total %         0    41.1      3.4       0.2        44.8     4.6         0         3        0.1         7.7      3.7   43.8        0        0         47.5

