philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,Sugarhouse Casino Dr #1 / Closed Driveway / Penn St / Ellen St,Cars - Taxis/Bicycles - Buses/Casino Shuttles,6/22/2013,20:00-20:15,1,28,0,0,0,0,0,38,0,0,0,4,0,12,0,2
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,Sugarhouse Casino Dr #1 / Closed Driveway / Penn St / Ellen St,Cars - Taxis/Bicycles - Buses/Casino Shuttles,6/22/2013,20:15-20:30,0,20,0,0,0,0,0,25,0,0,0,4,0,7,0,7
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,Sugarhouse Casino Dr #1 / Closed Driveway / Penn St / Ellen St,Cars - Taxis/Bicycles - Buses/Casino Shuttles,6/22/2013,20:30-20:45,3,22,0,0,0,0,0,27,0,0,0,3,0,12,1,1
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,Sugarhouse Casino Dr #1 / Closed Driveway / Penn St / Ellen St,Cars - Taxis/Bicycles - Buses/Casino Shuttles,6/22/2013,20:45-21:00,0,24,0,0,0,0,0,20,0,0,0,2,0,10,0,3
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,Sugarhouse Casino Dr #1 / Closed Driveway / Penn St / Ellen St,Cars - Taxis/Bicycles - Buses/Casino Shuttles,6/22/2013,21:00-21:15,0,34,0,0,0,0,0,14,0,0,0,3,0,11,0,3
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,Sugarhouse Casino Dr #1 / Closed Driveway / Penn St / Ellen St,Cars - Taxis/Bicycles - Buses/Casino Shuttles,6/22/2013,21:15-21:30,1,20,0,0,0,0,0,20,0,0,0,3,0,3,0,2
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,Sugarhouse Casino Dr #1 / Closed Driveway / Penn St / Ellen St,Cars - Taxis/Bicycles - Buses/Casino Shuttles,6/22/2013,21:30-21:45,3,15,0,0,0,0,0,17,0,0,0,3,0,3,0,0
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,Sugarhouse Casino Dr #1 / Closed Driveway / Penn St / Ellen St,Cars - Taxis/Bicycles - Buses/Casino Shuttles,6/22/2013,21:45-22:00,1,25,0,0,0,0,0,26,0,0,0,6,0,7,0,5
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,Sugarhouse Casino Dr #1 / Closed Driveway / Penn St / Ellen St,Cars - Taxis/Bicycles - Buses/Casino Shuttles,6/22/2013,22:00-22:15,0,17,0,0,0,0,0,28,0,0,0,8,0,4,1,21
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,Sugarhouse Casino Dr #1 / Closed Driveway / Penn St / Ellen St,Cars - Taxis/Bicycles - Buses/Casino Shuttles,6/22/2013,22:15-22:30,6,27,0,0,0,0,0,25,0,0,0,3,0,9,0,29
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,Sugarhouse Casino Dr #1 / Closed Driveway / Penn St / Ellen St,Cars - Taxis/Bicycles - Buses/Casino Shuttles,6/22/2013,22:30-22:45,2,22,0,0,0,0,0,21,0,0,0,1,0,6,0,7
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,Sugarhouse Casino Dr #1 / Closed Driveway / Penn St / Ellen St,Cars - Taxis/Bicycles - Buses/Casino Shuttles,6/22/2013,22:45-23:00,3,11,0,0,0,0,0,16,0,0,0,4,0,11,0,5
philadelphia/Appendix_C_(Traffic_Data)_to_Stantecs_Traffic_Study_re_Stadiums_Nov_2013_Rpt.xml,0 / DRIVEWAY 3 EXIT / DRIVEWAY 3 ENTRANCE,Cars/Trucks - Taxis - Buses,5/31/2013,16:00-16:15,0,0,0,0,66,,0,0,0,,47,0,0,0,0,0,,,,,,,Eastbound:Shuttle:0,Westbound:Shuttle:0
