                                                                 Chittenden County MPO
                                                                         30 Kimball Ave.
                                                                 South Burlington, Vermont 05403
BURL_S03 AUTO                                                        http://www.ccmpo.org/                                                         File Name       : burl_s03
Plattsburg Ave. & VT 127                                                                                                                           Site Code       : S03
Colchester, Vermont / Sunny                                                                                                                        Start Date      : 7/10/2008
JW EP JS CB                                                                                                                                        Page No         :1


                                                                            Groups Printed- Cars
                                VT127 (SB)                                           VT127 (NB)                               Plattsburg Ave.
                                 From North                                          From South                                 From West
         Start Time    Right   Thru         Peds    App. Total       Thru           Left         Peds    App. Total   Right    Left        Peds       App. Total      Int. Total
          07:00 AM        39      69            0         108          10              1             0          11       35      39            0             74             193
          07:15 AM        37    108             0         145          14             14             0          28       35      58            0             93             266
          07:30 AM        33    115             0         148          13              9             0          22       52      50            0            102             272
          07:45 AM        46    137             1         184          27             16             0          43       45      62            0            107             334
               Total    155     429             1         585          64             40             0         104     167     209             0            376            1065

          08:00 AM       46      91            0          137         20              12            0           32      43      39            0              82            251
          08:15 AM       47     105            0          152         29              14            0           43      28      41            0              69            264
          08:30 AM       46      90            0          136         32              10            0           42      38      39            0              77            255
          08:45 AM       46      75            0          121         27              14            0           41      22      53            0              75            237
              Total     185     361            0          546        108              50            0          158     131     172            0             303           1007

          04:00 PM       63      48            0          111         83             36             0          119      15      77            0              92            322
          04:15 PM       59      58            0          117         92             48             0          140       9      79            0              88            345
          04:30 PM       75      60            0          135         98             33             0          131      15      70            0              85            351
          04:45 PM       84      57            0          141        133             51             0          184      19      85            0             104            429
              Total     281     223            0          504        406            168             0          574      58     311            0             369           1447

          05:00 PM       73      57            0          130        142             51             0          193      16      86            0             102            425
          05:15 PM       76      41            0          117        129             41             0          170      26      75            0             101            388
          05:30 PM       78      41            0          119         95             37             0          132       9      82            0              91            342
          05:45 PM       82      41            0          123         76             38             0          114      11      65            0              76            313
              Total     309     180            0          489        442            167             0          609      62     308            0             370           1468

        Grand Total     930    1193            1         2124       1020             425            0         1445     418    1000            0            1418           4987
          Apprch %     43.8     56.2           0                     70.6           29.4            0                 29.5     70.5           0
            Total %    18.6     23.9           0         42.6        20.5             8.5           0           29      8.4    20.1           0            28.4

