                                                                Chittenden County MPO
                                                                        30 Kimball Ave.
                                                                South Burlington, Vermont 05403
Station ID: COLC06 Auto/Ped                                         http://www.ccmpo.org/                                                          File Name       : COLC06
Location: US Route 7 & Sunderland Woods                                                                                                            Site Code       : 06
Town: Colchester                                                                                                                                   Start Date      : 6/19/2008
Counters: CB CD JS                                                                                                                                 Page No         :1


                                                                           Groups Printed- Cars
                              US Route 7 SB                                       US Route 7 NB                              Sunderland Woods
                                From North                                          From South                                   From West
        Start Time    Right   Thru         Peds    App. Total       Thru           Left         Peds    App. Total   Right      Left       Peds       App. Total      Int. Total
         07:00 AM         4    197             0         201          31              3             0          34        3         4           0               7            242
         07:15 AM         0    220             0         220          48              3             0          51        6         0           0               6            277
         07:30 AM         2    255             0         257          56              2             0          58       13         4           0             17             332
         07:45 AM         3    273             0         276          71              2             0          73        4         8           0             12             361
              Total       9    945             0         954         206             10             0         216       26       16            0             42            1212

         08:00 AM        2     207            0          209         62               0            0           62       6         4           0              10            281
         08:15 AM       18     182            0          200         65               3            0           68       8         6           0              14            282
         08:30 AM        2     158            0          160         66               0            0           66       5         4           0               9            235
         08:45 AM        2     112            0          114         72               2            0           74       3         5           0               8            196
             Total      24     659            0          683        265               5            0          270      22        19           0              41            994

         09:00 AM        9      98            0          107        234               3            0          237       2         2           0               4            348
         09:15 AM        5     101            0          106        240               2            0          242       2         1           0               3            351
         09:30 AM        4     111            0          115        289               8            0          297       4         0           0               4            416
         09:45 AM        4     121            0          125        276               5            0          281       2         1           0               3            409
             Total      22     431            0          453       1039              18            0         1057      10         4           0              14           1524

         10:00 AM        4     106            0          110        350               4            0          354       1         1           0               2            466
         10:15 AM        1     121            0          122        330              15            0          345       5         5           0              10            477
         10:30 AM        5     115            0          120        278               7            1          286       0         1           0               1            407
         10:45 AM        3     111            0          114        216               8            0          224       6         0           0               6            344
             Total      13     453            0          466       1174              34            1         1209      12         7           0              19           1694

       Grand Total       68   2488            0         2556       2684              67            1         2752      70        46           0             116           5424
         Apprch %       2.7    97.3           0                     97.5            2.4            0                 60.3      39.7           0
           Total %      1.3    45.9           0         47.1        49.5            1.2            0         50.7     1.3       0.8           0              2.1

