                                                                 Chittenden County MPO
                                                                         30 Kimball Ave.
                                                                 South Burlington, Vermont 05403
MILT07 - Auto/Ped                                                    http://www.ccmpo.org/                                                         File Name       : milt07
Main St. & Railroad St.                                                                                                                            Site Code       : 07
MIlton, VT / Sunny                                                                                                                                 Start Date      : 7/23/2008
EP JW                                                                                                                                              Page No         :1


                                                                            Groups Printed- Cars
                                 Main St. WB                                         Railroad St.                               Main St. EB
                                  From East                                          From South                                 From West
         Start Time    Thru      Left       Peds    App. Total      Right           Left          Peds    App. Total   Right   Thru        Peds       App. Total      Int. Total
          07:00 AM       16       26            0          42          10              1              0          11        4     10            0             14              67
          07:15 AM       14       42            0          56          15              2              0          17        3     22            1             26              99
          07:30 AM       25       26            0          51          26              2              0          28        4     14            0             18              97
          07:45 AM       23       44            0          67          28              3              1          32        6     24            1             31             130
               Total     78      138            0         216          79              8              1          88       17     70            2             89             393

          08:00 AM         14     26           1           41         16               2             0           18       2      11           0              13             72
          08:15 AM         20     17           0           37          7               3             0           10       3      13           0              16             63
          08:30 AM         19     16           1           36          9               2             0           11       1       6           0               7             54
          08:45 AM         16     14           0           30          9               5             0           14       2      12           0              14             58
              Total        69     73           2          144         41              12             0           53       8      42           0              50            247

          04:00 PM         31     23           0           54         35               5             0           40       5      18           1              24            118
          04:15 PM         35     14           1           50         32               5             0           37       1      24           0              25            112
          04:30 PM         28     27           0           55         29               6             0           35       1      33           1              35            125
          04:45 PM         29     18           0           47         48               7             0           55       7      23           0              30            132
              Total       123     82           1          206        144              23             0          167      14      98           2             114            487

          05:00 PM         38     31           0           69         32               5             0           37       4      17           3              24            130
          05:15 PM         34     29           1           64         48               4             0           52       7      18           0              25            141
          05:30 PM         37     16           0           53         44               9             0           53       5      17           1              23            129
          05:45 PM         28     10           0           38         43               3             0           46       6      19           1              26            110
              Total       137     86           1          224        167              21             0          188      22      71           5              98            510

        Grand Total        407    379           4         790         431             64             1          496      61     281            9            351           1637
          Apprch %        51.5     48         0.5                    86.9           12.9           0.2                 17.4    80.1          2.6
            Total %       24.9   23.2         0.2        48.3        26.3            3.9           0.1         30.3     3.7    17.2          0.5           21.4

