                                                                   Chittenden County MPO
                                                                           30 Kimball Ave.
                                                                   South Burlington, Vermont 05403
MILT07 - Agg                                                           http://www.ccmpo.org/                                                         File Name       : milt07
Main St. & Railroad St.                                                                                                                              Site Code       : 07
MIlton, VT / Sunny                                                                                                                                   Start Date      : 7/23/2008
EP JW                                                                                                                                                Page No         :1


                                                                    Groups Printed- Cars - Trucks - Buses
                                  Main St. WB                                         Railroad St.                                Main St. EB
                                   From East                                          From South                                  From West
         Start Time    Thru       Left    Bike/Ped    App. Total      Right           Left    Bike/Ped      App. Total   Right   Thru    Bike/Ped       App. Total      Int. Total
          07:00 AM       16        26             0          42          10              1             0           11        5     10            1             16              69
          07:15 AM       14        43             0          57          16              3             0           19        3     23            1             27             103
          07:30 AM       26        27             0          53          28              2             0           30        4     15            0             19             102
          07:45 AM       25        45             0          70          30              3             1           34        6     28            1             35             139
               Total     81       141             0         222          84              9             1           94       18     76            3             97             413

          08:00 AM          15      26           1           42          18             2             0            20       3      13           1              17             79
          08:15 AM          21      17           0           38           8             3             0            11       3      17           1              21             70
          08:30 AM          22      16           1           39           9             2             0            11       2       8           1              11             61
          08:45 AM          19      14           0           33          10             5             1            16       2      14           0              16             65
              Total         77      73           2          152          45            12             1            58      10      52           3              65            275

          04:00 PM         34       23           0           57          35             5             0            40       5     20            1              26            123
          04:15 PM         35       14           1           50          32             6             0            38       2     26            0              28            116
          04:30 PM         30       28           0           58          29             7             0            36       1     33            1              35            129
          04:45 PM         29       18           0           47          49             7             0            56       7     23            0              30            133
              Total       128       83           1          212         145            25             0           170      15    102            2             119            501

          05:00 PM         39       31           0           70          33             6             0            39       4      17           3              24            133
          05:15 PM         36       29           3           68          48             4             0            52       7      19           0              26            146
          05:30 PM         37       16           1           54          44             9             1            54       5      18           1              24            132
          05:45 PM         29       10           0           39          43             3             3            49       6      19           1              26            114
              Total       141       86           4          231         168            22             4           194      22      73           5             100            525

        Grand Total        427     383           7          817         442            68             6           516      65     303          13             381           1714
          Apprch %        52.3    46.9         0.9                     85.7          13.2           1.2                  17.1    79.5         3.4
            Total %       24.9    22.3         0.4         47.7        25.8             4           0.4          30.1     3.8    17.7         0.8            22.2
               Cars        407     379           4          790         431            64             1           496      61     281           9             351           1637
            % Cars        95.3       99       57.1         96.7        97.5          94.1          16.7          96.1    93.8    92.7        69.2            92.1            95.5
             Trucks          19       3          3            25          11            4             5             20      4       21          4               29             74
          % Trucks          4.4     0.8       42.9           3.1         2.5          5.9          83.3            3.9    6.2      6.9       30.8              7.6            4.3
             Buses            1       1          0             2           0            0             0              0      0        1          0                1              3
           % Buses          0.2     0.3          0           0.2           0            0             0              0      0      0.3          0              0.3            0.2

